idUporabnik;plusi;minusi
17;314;184
17theone;1400;342
19miha90;1493;291
4-3-2-1;1149;413
420;1264;311
88dejo88;555;293
99-or-1;713;390
a-dee-jay;635;293
a-orhidejca;1736;621
a123b;464;212
abeta;325;284
abndbn;639;195
aboveu;1143;821
accko;370;202
acinho;912;489
adijo-svet;4400;1917
agent-perry;3111;1901
aki10;373;246
alanhansen;205;74
albus;367;251
alcarin;312;354
alek;588;107
alen64;590;194
ales24;630;202
alexiush;1760;495
alfi2;285;142
alikasmu-anje;499;149
alisha-8mg3;1218;151
alkum;837;707
alojzr;534;303
am-shagar;527;175
an-e-ciuf;508;120
anakin-skywalker;342;51
andrejm-yj8h;279;425
andz;408;154
angelmanuel;425;303
ankorn;1749;325
anny22;1181;251
anze82;1328;502
anzi23;1054;353
arawn;823;195
aresnica;200;58
arking;467;244
arli23;3592;1080
arnolfus;514;244
arsenal_fan1;5676;2262
arso;439;171
arto77;329;190
arts7yle;1074;482
aschkao;265;97
ashme;1768;716
aski;1762;602
assange;1574;497
as_kgarnett;759;262
ata;449;201
atacar;506;44
atm;567;855
atomx;509;83
aufbiks-v2ft;2012;802
avantura10;349;139
axx;680;124
ayrton79;377;221
b-in;2076;480
b1;460;320
backless;630;240
bad-o;459;337
bala;3052;493
balestra92;2286;757
bamfi;418;131
barca10;744;618
barca14;734;441
barca_4_ever;838;752
barezi;613;280
barracuda-u6le;800;209
barto_;288;43
bata1967;1304;712
bb_44;642;1266
belfast-boy;867;518
belphegor;1036;305
bethtempete;543;630
biebermaniac;499;206
bigbadbruin;197;235
bjorndalen-tiala;461;80
blackadder-7v91;186;131
blamethagame;249;21
blazm;1044;761
blazz;1272;691
bliki;707;229
blitz;473;101
bob-q82o;412;84
bobbek;3081;654
boboman;570;153
bobr;418;123
boby21;648;399
bobym;595;207
bodimo_realni;355;1191
bojan55;795;121
bojanec;543;63
bolhca;835;1191
bondi;2508;3318
bonifika123;302;280
boomslang;782;124
bor-v;422;139
bor10ut;554;138
borut1991;592;130
bostjan-brunec;595;1855
bozz;734;273
branc;491;155
branko57;1254;2430
branvan30000;306;880
brasilinho7777;318;176
bregas;485;93
brehme;1588;1041
brico32;743;695
brigate-rosse;499;149
brisko;616;166
bro_die;870;250
bsr;2246;1004
bubi-schumi;797;1051
budspencer;1970;486
caedmon;470;66
cak-mal-noris;363;139
camel2;378;92
captain-obvious;906;478
carbonfajbr;645;172
carlos_carlos;313;135
cartekmedo;2034;558
cecile;489;359
celec222;603;370
celjan2;1125;289
cepheus;291;108
chamberlain;2295;466
chelsea-hh;198;161
chelsea1111;414;550
chelsea99;1702;699
chi-bears-54;342;139
chopin;503;159
chosen;648;129
chupa;323;108
cicimici;304;179
cini-minis;1797;718
comrade;2400;681
conchis;307;91
conquistador;1029;468
coreysteel;1273;176
cricka;499;425
crnibog;1416;782
croman_1;656;457
cslesce;784;193
ctm;487;196
cungalunga007;760;328
cvetaca-i0bc;422;789
cyril;573;801
d-e-s-s;2216;147
d-u-p-a;136;110
d-wade36;1200;542
da-funk;1016;196
daayumn;295;243
dad-t56c;251;241
dadinho10;519;170
damirtankovic;2334;444
damjan-ozmec;213;1064
danger_mouse;492;189
daryankoff;8248;1785
davide;441;212
daywalker;352;63
deadeye1;568;225
deancarni;97;281
dejan1994;373;106
delux;651;164
demetra;807;215
demiensatlier;1438;458
deninho1989;372;106
deniniho;962;160
diazepam;1556;637
diego-armando;1926;636
dimel;372;121
dinacc;259;232
dirknowitzki;994;354
dirttrials;809;222
divac21;187;71
dobiica;945;4377
doblaek;278;1160
doblica;391;762
doda33;442;117
doktor-bauer;685;1067
dolinc;677;477
domen_92;608;100
domobranec-ryen;1781;1263
donkey;1188;296
donkeyking;240;62
doubleog;232;120
dp_mozart;342;428
drago;354;120
drash;344;64
drawlord;2031;808
dreadlord;364;108
drjones;444;283
drncl;907;197
drop-dead;367;368
dusansilni;822;172
dylanus;306;64
e-e;1294;544
eagle012;1070;64
ebel-acroni;793;530
ekv;202;78
elemental;723;408
elko;392;63
eltorro;297;88
elvis1990;354;96
emlynhughes;1603;790
enigma1;448;2097
ennui;2327;335
ermin;288;65
erwte35;402;151
es-y8pg;363;290
espero;240;102
etienko;689;157
ettelewen;540;22
eu-bananistan;412;41
eva-longoria;395;112
ezat_anim;5107;4351
fabregas1991;2303;384
fairplayer;2386;387
faktorx;517;322
fanica28;1173;138
fc-mb;246;98
fedorov71;2369;2008
ferrari-fan;713;29
ferrari458;823;514
fini_gospod;690;230
firebal-no-1;1071;358
fireworker;473;159
firnk-6clt;384;199
fissico;1236;205
fleaa;2695;2756
fndesjekl;912;288
foofighter;1705;620
fosfat;1437;555
franc-pijanc;1538;555
francek-xh6k;627;179
frank-james;230;172
freestailo;835;380
friks;3049;596
frutek01;839;452
fudelaster;631;584
fuj_plagiatorji;457;350
g1307;447;27
g33ky_fr34k;2908;676
galaxy;504;100
gapek;967;161
gappon;1422;620
genniuuss;523;527
german;429;2122
gesan;727;302
gigi76;320;57
giroud;4037;774
glasna;397;191
go-keith-go;380;102
goalkeeper;313;183
goat16;639;237
gor123;899;235
gordon;274;189
goskic;484;121
gpag;506;239
gravesen;3391;1292
gregaa;372;101
gregorb;3272;1961
gregorsu;169;148
gregory2010;483;167
gregorzupancic;1060;412
gregsa;1845;469
gregsz;3384;1000
grobarrr;983;693
gromhellscream;822;388
grugar;802;1106
gumbler;234;62
gumi;436;100
gunman55;626;179
gunslinger;378;210
gushtr;1525;364
hafis;1437;910
hanzy23;1290;299
hardworker;369;66
heinz;1812;2921
heldarion;265;92
hepimen;1055;450
hijena;818;585
hladilnik;523;160
hrgotax;1091;244
humwawaxaztur;293;682
hyosung;464;150
iawia;573;387
iceman-m96s;469;121
icetea;794;376
ice_devil;886;119
icos;1207;403
ics;793;599
idaho;1069;1637
idared;1907;422
ikacbe;147;51
ikn1;314;241
ime-egb7;272;63
impact;363;163
imre;1479;783
infostriker;659;198
insider;1406;615
intojeto;496;312
iowa;2076;1220
irobert;420;128
iuckylee-is-back;768;310
ivan-gudelj;137;1194
iztrd;1546;397
jaakaa;1026;735
