idUporabnik;avg_ocena
17;4.27378640592
17theone;4.34759355356
19miha90;4.3024390101
4-3-2-1;4.20476193655
420;4.23433475945
88dejo88;4.18155340315
99-or-1;3.88394495435
a-dee-jay;4.26333334446
a-orhidejca;4.36304348254
a123b;4.05137615029
abeta;4.34512196808
abndbn;4.09090909091
aboveu;4.23146417431
accko;4.23953488076
acinho;4.25384611517
adijo-svet;4.12928474706
agent-perry;4.45812766248
aki10;4.3810606066
alanhansen;4.08390803584
albus;4.44059409481
alcarin;4.34137928349
alek;4.27706421406
alen64;4.31977399594
ales24;4.23629628817
alexiush;4.34235034681
alfi2;4.41940299433
alikasmu-anje;4.45000001362
alisha-8mg3;4.32692308953
alkum;4.00769228488
alojzr;4.03400001526
am-shagar;4.40238096175
an-e-ciuf;4.17816092776
anakin-skywalker;4.19295776058
andrejm-yj8h;4.30410961909
andz;4.22222220368
angelmanuel;4.41518987583
ankorn;4.38341969715
anny22;4.39660195702
anze82;4.08324872661
anzi23;4.3037735876
arawn;3.89428571974
aresnica;4.56000002861
arking;4.15490194395
arli23;4.08162327127
arnolfus;4.28441557017
arsenal_fan1;4.20514342422
arso;4.50775862151
arto77;4.20000003707
arts7yle;4.36028708225
aschkao;4.52878788385
ashme;4.20206895614
aski;4.43934427356
assange;4.22706422401
as_kgarnett;4.40104529999
ata;4.0295775071
atacar;4.55647061292
atm;4.14186047584
atomx;4.49397595245
aufbiks-v2ft;4.3455210157
avantura10;4.18970588025
axx;4.33867924393
ayrton79;4.10921052569
b-in;4.26631016049
b1;4.12020201876
backless;4.27619043797
bad-o;4.02957745505
bala;4.3987437274
balestra92;4.27759036845
bamfi;4.29431817477
barca10;4.18285715989
barca14;4.19179102734
barca_4_ever;4.16172839241
barezi;4.45119049152
barracuda-u6le;4.18719999027
barto_;4.52857149328
bata1967;4.16006288888
bb_44;4.28838948811
belfast-boy;4.25953757418
belphegor;4.14817516038
bethtempete;4.29107143836
biebermaniac;4.07350425231
bigbadbruin;4.52954544804
bjorndalen-tiala;4.13055556681
blackadder-7v91;4.57534250495
blamethagame;4.47261905103
blazm;4.18676923532
blazz;4.21975309025
bliki;4.60311112616
blitz;4.11999998887
bob-q82o;4.37203390922
bobbek;4.32395211398
boboman;4.18709677073
bobr;4.17619049265
boby21;4.38957057774
bobym;4.18585858321
bodimo_realni;4.25535709837
bojan55;4.40722896392
bojanec;4.57380956979
bolhca;4.11638416274
bondi;4.21588448734
bonifika123;4.54859816248
boomslang;4.26931820674
bor-v;4.22412060373
bor10ut;4.38429752263
borut1991;4.29591836856
bostjan-brunec;4.42164951624
bozz;4.07352941615
branc;4.33333336247
branko57;4.34469527127
branvan30000;4.34240001869
brasilinho7777;4.07476636294
bregas;4.58857145139
brehme;4.33972601327
brico32;4.32943925791
brigate-rosse;4.4577320089
brisko;4.15619047256
bro_die;4.30108695315
bsr;4.22782447692
bubi-schumi;3.9936305854
budspencer;4.33272729874
caedmon;4.32873563246
cak-mal-noris;4.27272726653
camel2;4.58051950591
captain-obvious;4.36315788581
carbonfajbr;4.18979590766
carlos_carlos;4.1867346715
cartekmedo;4.3964509638
cecile;4.10896551198
celec222;4.33255816338
celjan2;4.1873239346
cepheus;4.57058822407
chamberlain;4.40163399737
chelsea-hh;4.33888889949
chelsea1111;4.31166667938
chelsea99;4.30237468629
chi-bears-54;4.31414140595
chopin;4.33916668296
chosen;4.47413797728
chupa;4.17066665332
cicimici;4.02952380862
cini-minis;4.29605265092
comrade;4.330992731
conchis;4.25257733188
conquistador;4.19349112313
coreysteel;4.42670810815
cricka;4.33953489536
crnibog;4.2776698935
croman_1;4.13684211405
cslesce;4.48614456926
ctm;4.31226415004
cungalunga007;4.37191489149
cvetaca-i0bc;4.3393162387
cyril;4.11789474926
d-e-s-s;4.52359157969
d-u-p-a;4.41627911357
d-wade36;4.24112555372
da-funk;4.18539324503
daayumn;4.0974137855
dad-t56c;4.1059523679
dadinho10;4.18235296963
damirtankovic;4.50349651211
damjan-ozmec;4.45871557008
danger_mouse;4.03611110979
daryankoff;4.37594184857
davide;3.87916668753
daywalker;4.34852938091
deadeye1;4.29318181493
deancarni;4.28666665077
dejan1994;4.39382719111
delux;4.50445862788
demetra;4.2744444867
demiensatlier;4.34086022497
deninho1989;4.3111111025
deniniho;4.22857143411
diazepam;4.31627907217
diego-armando;4.33123029707
dimel;4.29583333929
dinacc;4.23360653588
dirknowitzki;4.48134330716
dirttrials;4.16315792318
divac21;4.10989011775
dobiica;4.25215515597
doblaek;4.20705882521
doblica;4.28347828077
doda33;4.17910449896
doktor-bauer;4.32627740568
dolinc;4.29462365309
domen_92;4.41111111376
domobranec-ryen;4.27654986851
donkey;4.37722774425
donkeyking;4.53823531375
doubleog;4.27628864947
dp_mozart;4.14234232688
drago;4.05222219626
drash;4.1731707381
drawlord;4.3003558612
dreadlord;4.09655171975
drjones;4.15132741802
drncl;4.37830190614
drop-dead;4.20952381407
dusansilni;4.42906979489
dylanus;4.65494506569
e-e;4.14563759221
eagle012;4.32640002155
ebel-acroni;4.39606301991
ekv;4.45138886571
elemental;4.25638295995
elko;4.53703706647
eltorro;3.86268655578
elvis1990;4.40519484607
emlynhughes;4.20602410098
enigma1;4.42631579521
ennui;4.2682310261
ermin;3.8989473117
erwte35;4.40746267162
es-y8pg;4.18648649551
espero;4.24415585592
etienko;4.45714288844
ettelewen;4.65625005364
eu-bananistan;4.43414638682
eva-longoria;4.43578946967
ezat_anim;4.15973856496
fabregas1991;4.31598173864
fairplayer;4.04902806241
faktorx;4.36126127544
fanica28;4.53805671723
fc-mb;4.3178217954
fedorov71;4.54218062877
ferrari-fan;4.76666669934
ferrari458;4.31470590655
fini_gospod;4.32970299579
firebal-no-1;4.28873240612
fireworker;4.58727273219
firnk-6clt;4.42635659746
fissico;4.34827587043
fleaa;4.31866912701
fndesjekl;4.31463416539
foofighter;4.14840182794
fosfat;4.24761904989
franc-pijanc;4.40162866085
francek-xh6k;4.27038837347
frank-james;4.07215187821
freestailo;4.13260870783
friks;4.35637931022
frutek01;4.19548387297
fudelaster;4.32000000838
fuj_plagiatorji;4.35943395462
g1307;4.49767445132
g33ky_fr34k;4.45624104908
galaxy;4.33837210439
gapek;4.42666666419
gappon;4.18653846246
genniuuss;4.21836732358
german;4.21285714422
gesan;3.92402599539
gigi76;4.43382352591
giroud;4.23822394692
glasna;4.45176473926
go-keith-go;4.10000002735
goalkeeper;4.17222219043
goat16;4.34088396631
gor123;4.05958904306
gordon;4.4750000028
goskic;4.30151516018
gpag;3.95740740903
gravesen;4.27453416425
gregaa;4.14301073679
gregorb;4.30208668338
gregorsu;3.91538460962
gregory2010;4.3746987969
gregorzupancic;4.18413792807
gregsa;4.39808429703
gregsz;4.29910712556
grobarrr;4.53037975106
gromhellscream;4.27613635903
grugar;4.26666666835
gumbler;4.30340915647
gumi;4.30833333068
gunman55;4.56111110912
gunslinger;4.29487184072
gushtr;4.49968555738
hafis;4.3435986207
hanzy23;4.19631578483
hardworker;3.8588235238
heinz;4.3380368224
heldarion;4.38142857552
hepimen;4.29627117545
hijena;4.40492958922
hladilnik;4.27303370197
hrgotax;4.23272729137
humwawaxaztur;4.39473686511
hyosung;4.16271183854
iawia;4.21323529938
iceman-m96s;4.44431817803
icetea;4.48185484063
ice_devil;4.53906251211
icos;4.41907691002
ics;4.26105262982
idaho;4.24604650209
idared;4.4737451951
ikacbe;4.17575759057
ikn1;4.27829457531
ime-egb7;4.22048196161
impact;4.25138888094
imre;4.15742574541
infostriker;4.22941181239
insider;4.232142835
intojeto;4.44958679341
iowa;4.2215414992
irobert;4.32970298163
iuckylee-is-back;4.18153849015
ivan-gudelj;4.78163270804
iztrd;4.38033571861
jaakaa;4.22472325638
jaakaalj;4.17311320552
jackm8;4.15033557191
jaka93;4.45232560746
jakosol;4.25327871178
janbac;4.4346630224
janezblond;4.31401870072
janezjanez-j057;4.34021739856
jang;4.27063492366
janiel74;4.37050148344
janko-luzar;4.31758242649
janko1973;4.41710114902
jasej1;4.36095236142
jasminelle;4.23955225678
jast123;4.19664178633
jay-6;4.48000007237
jbzt;4.12105263911
jcole;4.18918921496
jd666;4.07466667414
jedercan;4.32833336393
jernej-dodig;4.32391305073
jernejzgur;4.51363640211
jeroflaek;4.44402517613
jerros;4.26309527386
jest25;4.24463276405
jezek_moli_moli;4.21884058869
jlmezed;4.32832763382
jo-epotrebuje;4.38346457106
jodlzi;4.36144578457
joe19;4.64517374941
johnb;4.20055558019
jojo7;4.3297520669
joshauboy;4.18744770653
joy;4.32654087289
jujc;4.23304349236
juninho8slo;4.38654710038
jureee;4.61142859005
jurerock;4.09909912273
jure_bure;4.22678572046
jure_mb;4.03445378873
jurica;4.33674911202
juveandlivar;4.43205125821
juventina10;4.1241573102
kafkaf;4.12238562399
kai;4.11585366726
kanalija;4.33267971971
kapitan-kljuka;4.22427184605
kar-eden;4.54166667802
katalonec;4.11739132301
katana-p4zd;4.38219181479
katastrofa;4.29411764706
kauko;4.16822917635
keketz;4.177094971
kenguru27;4.34720002842
kentaurus;4.15144926914
kimi12345;4.36470592022
kindobovs;4.12584268913
king23;4.15795453841
kingstone;4.18206897604
kipanaliwo;4.38505748771
kjersoncenezaide;4.05679014877
kla_man;4.1636363575
klemy;4.29504504102
klemzyy;4.35660377239
klipan;4.20288461733
klmncizmek;4.47179490583
knight1987;4.34322582137
kobalt;4.46578948121
kobi23;4.20940169718
kobiiica;4.46477269855
kok;3.91844659754
kokio;4.44860336567
kokozaver;4.17078651471
kolesar666a;4.3761904797
konjice;4.52112678071
kop;4.11515149781
koperboy;4.37574468217
kopibrejk;4.23376622138
kopitarthegreat;4.59256202327
koren-prsmojen;4.26153845839
korenc;4.27534250037
korosec19;4.40000000107
korotan;4.07772924182
kosmatapazduha;4.14814815698
kozlevcar;4.36853934674
kozorog1973;4.45366795367
kralj-matja;4.16616540565
kralj-tvrtko;4.17386362498
kramci;4.30769230884
kraner-oquh;4.19082569529
kreativni-hrvat;4.56954547925
krjen3;4.32989131497
krkanm18;4.36988638409
krkas;4.25116278959
krosnjar;4.03098592792
krpani;4.48019326251
krumpek;4.08556703931
kucheysh;4.20149253109
kum-50;4.11764704129
kumimonster;4.39230771248
kunta-kinte;4.12205882195
kuntekinte;4.18762886278
kurjac-jt6h;4.49266052246
kurt-china;4.16263735163
kvaternik;4.0491228006
kwayzdey;4.40270271172
k_ris;4.15684211129
l-amolin;4.4424561283
l-curek;4.43070865992
la-sonrisa;4.32333337731
ladu;4.2387931203
lascan1;4.16403510696
latamprle;4.06117648237
latex;4.1238805963
le-courage;4.19883725394
lechy;4.32032711261
ledeni_-ioqs;4.46492535321
ledzeppelin;4.4460784267
leftwinger;4.08850574767
legenda3;4.36885246748
legenda7;4.38696682058
leomessi10;4.33376623067
levak;4.24571428469
levkup;4.50100671525
lfc;4.19504717639
likid;4.25000000993
ljga;4.30512820554
ljsn;4.14586466237
lmatja;4.27199999406
lojal;4.22812501192
lookaaa;4.24562501237
lord-of-d-rings;3.95599999428
loucypher;4.38228346513
lovec-fq5z;4.033734932
lo_pa__ta;4.24794522132
lu-yehi;4.46025641454
luisnani17;4.20307443829
luka007;4.20152801407
luka101;4.19770111161
lukace5;4.31981981058
lwzr;4.05619049526
lzilzola;4.12983872621
lzuti;4.0749999824
m-filter;4.35142854537
maaajcikaaa;4.41017963501
macek;4.58461544453
macupicu;4.07961165789
madnes;4.53333332804
madobromakaj;4.36588240231
maestral-g4z8;4.35970150891
majkomila;4.08106060823
majster-22ev;4.33106060823
mala-jeb7;4.44583333532
mali-metulj-ek;4.36829272131
malidelnicar;4.29457363971
mamutar;4.26794874668
maniac-n0fb;4.17249999642
manrose-b8nd;4.30927835297
marialorca;4.24941176807
marjan91;4.28840581922
mark-22;4.37543858352
martin112;4.24388184829
martinsk;4.29239133389
marvin42;4.38809528237
master;4.22371795277
mat;4.23583331903
mate1234567890;4.42904192959
matej-kl28;4.20841120559
matjazp;4.65628276508
maxbernie;3.93611112568
ma_ri_bor;4.49242427674
mcbobber;4.17142856878
md-zz4b;4.46521742448
mdural-qyxm;4.36804122777
medo-9yoi;4.26617645867
medoo-rglh;4.62025317965
megla111;4.28863634846
melanholik;4.00170940619
melitam;4.32926831304
merjasec;4.28536587227
merlot;4.21129032777
metk;4.46181821606
mha-78ad;4.3902097532
micesar;4.23333333117
mid;4.24884793231
mihaj1-nq4s;4.36399997711
mihamiha23;4.40434782661
mihas;4.27422684493
mihatirs;4.31523545627
mike1825;4.31212121308
mike81;3.96404494328
mikedean;4.3591216122
miki331;4.5201439077
mikic007;4.23013698973
miki_miska;4.29001957096
milanche;4.1297872168
milenko-t34c;4.00124996155
milmar;4.35243906044
mindmaster;4.0402597607
mirkoking;4.04520545267
miroslav;4.2634146766
mjex;4.2022988714
mlrncan;4.37480314698
mocco;4.19030099728
model-r1yn;4.06153843495
modzo;4.08021389737
mojcd;4.21119997215
montebuba;4.34571431478
mooodeeel;4.20857139826
morgen;4.27500002008
morgenstern-djl6;4.4607595326
motorbreath;4.47070710346
mp3ce;4.57200003624
mprivse;4.44625002742
mr-d;4.32122051699
mr-miyagi;4.41233767782
mr-pp;4.37469881127
mrsepia;4.14615385043
ms-dante;4.16025641331
mu-ica;4.05207469008
mucek113;4.20921786138
mui;4.27474747041
mulcon;4.35092591687
muribor;4.59333335029
mushroom;4.24256757143
mzija10;4.30283020465
nacek;4.17341773269
name59;4.42325583447
nanook-ljb1;4.53400001287
napo11;4.54111112621
naugty-by-nature;4.31305968228
nb21;4.42303924116
nbatv;4.41754384626
nellyville;4.2397923981
nemafiji;4.65145628429
nenn0;4.07647059665
neo_;4.15362318011
nerd;4.39439254164
nikec3;4.26974359842
