idUporabnik;avg_razlika
17;1
17theone;6
19miha90;4
4-3-2-1;4
420;4
88dejo88;3
99-or-1;1
a-dee-jay;3
a-orhidejca;3
a123b;2
abeta;1
abndbn;6
aboveu;1
accko;1
acinho;1
adijo-svet;3
agent-perry;1
aki10;1
alanhansen;2
albus;1
alcarin;0
alek;2
alen64;2
ales24;3
alexiush;3
alfi2;2
alikasmu-anje;4
alisha-8mg3;5
alkum;1
alojzr;2
am-shagar;2
an-e-ciuf;4
anakin-skywalker;4
andrejm-yj8h;-2
andz;3
angelmanuel;2
ankorn;7
anny22;5
anze82;4
anzi23;3
arawn;6
aresnica;2
arking;2
arli23;4
arnolfus;4
arsenal_fan1;3
arso;2
arto77;1
arts7yle;3
aschkao;3
ashme;4
aski;3
assange;5
as_kgarnett;2
ata;3
atacar;5
atm;-2
atomx;5
aufbiks-v2ft;2
avantura10;3
axx;5
ayrton79;2
b-in;4
b1;1
backless;3
bad-o;2
bala;6
balestra92;4
bamfi;3
barca10;1
barca14;2
barca_4_ever;1
barezi;4
barracuda-u6le;5
barto_;4
bata1967;2
bb_44;-2
belfast-boy;2
belphegor;5
bethtempete;-1
biebermaniac;3
bigbadbruin;0
bjorndalen-tiala;5
blackadder-7v91;1
blamethagame;3
blazm;1
blazz;2
bliki;2
blitz;5
bob-q82o;3
bobbek;4
boboman;3
bobr;4
boby21;2
bobym;4
bodimo_realni;-7
bojan55;8
bojanec;6
bolhca;-2
bondi;-1
bonifika123;0
boomslang;7
bor-v;1
bor10ut;3
borut1991;5
bostjan-brunec;-6
bozz;3
branc;4
branko57;-3
branvan30000;-5
brasilinho7777;1
bregas;3
brehme;2
brico32;0
brigate-rosse;4
brisko;4
bro_die;3
bsr;1
bubi-schumi;-2
budspencer;5
caedmon;5
cak-mal-noris;3
camel2;4
captain-obvious;3
carbonfajbr;5
carlos_carlos;2
cartekmedo;2
cecile;1
celec222;3
celjan2;6
cepheus;3
chamberlain;6
chelsea-hh;0
chelsea1111;-1
chelsea99;3
chi-bears-54;2
chopin;3
chosen;4
chupa;3
cicimici;1
cini-minis;5
comrade;4
conchis;2
conquistador;3
coreysteel;7
cricka;1
crnibog;2
croman_1;1
cslesce;4
ctm;3
cungalunga007;2
cvetaca-i0bc;-3
cyril;-1
d-e-s-s;7
d-u-p-a;0
d-wade36;3
da-funk;9
daayumn;0
dad-t56c;0
dadinho10;3
damirtankovic;4
damjan-ozmec;-8
danger_mouse;4
daryankoff;4
davide;3
daywalker;4
deadeye1;3
deancarni;-2
dejan1994;3
delux;3
demetra;3
demiensatlier;4
deninho1989;4
deniniho;7
diazepam;4
diego-armando;4
dimel;3
dinacc;0
dirknowitzki;2
dirttrials;5
divac21;1
dobiica;-15
doblaek;-10
doblica;-3
doda33;5
doktor-bauer;-3
dolinc;1
domen_92;6
domobranec-ryen;1
donkey;4
donkeyking;3
doubleog;1
dp_mozart;-1
drago;3
drash;3
drawlord;4
dreadlord;3
drjones;1
drncl;7
drop-dead;0
dusansilni;4
dylanus;3
e-e;5
eagle012;8
ebel-acroni;2
ekv;2
elemental;3
elko;4
eltorro;3
elvis1990;3
emlynhughes;3
enigma1;-12
ennui;7
ermin;2
erwte35;4
es-y8pg;1
espero;2
etienko;5
ettelewen;6
eu-bananistan;5
eva-longoria;3
ezat_anim;1
fabregas1991;4
fairplayer;4
faktorx;2
fanica28;4
fc-mb;1
fedorov71;0
ferrari-fan;5
ferrari458;2
fini_gospod;5
firebal-no-1;3
fireworker;2
firnk-6clt;1
fissico;6
fleaa;0
fndesjekl;4
foofighter;2
fosfat;3
franc-pijanc;3
francek-xh6k;2
frank-james;1
freestailo;5
friks;4
frutek01;2
fudelaster;0
fuj_plagiatorji;1
g1307;5
g33ky_fr34k;3
