idUporabnik;classify;classify_count
17;+;18
17;-;85
17theone;+;67
17theone;-;120
19miha90;+;132
19miha90;-;155
4-3-2-1;+;58
4-3-2-1;-;131
420;+;91
420;-;142
88dejo88;+;65
88dejo88;-;38
99-or-1;+;75
99-or-1;-;143
a-dee-jay;+;27
a-dee-jay;-;93
a-orhidejca;+;116
a-orhidejca;-;252
a123b;+;25
a123b;-;84
abeta;+;15
abeta;-;67
abndbn;+;18
abndbn;-;59
aboveu;+;71
aboveu;-;250
accko;+;38
accko;-;91
acinho;+;45
acinho;-;241
adijo-svet;+;222
adijo-svet;-;519
agent-perry;+;370
agent-perry;-;805
aki10;+;58
aki10;-;74
alanhansen;+;25
alanhansen;-;62
albus;+;52
albus;-;49
alcarin;+;20
alcarin;-;67
alek;+;108
alek;-;110
alen64;+;11
alen64;-;166
ales24;+;76
ales24;-;59
alexiush;+;183
alexiush;-;268
alfi2;+;21
alfi2;-;46
alikasmu-anje;+;81
alikasmu-anje;-;17
alisha-8mg3;+;130
alisha-8mg3;-;78
alkum;+;41
alkum;-;167
alojzr;+;11
alojzr;-;89
am-shagar;+;20
am-shagar;-;148
an-e-ciuf;+;35
an-e-ciuf;-;52
anakin-skywalker;+;16
anakin-skywalker;-;55
andrejm-yj8h;+;20
andrejm-yj8h;-;53
andz;+;35
andz;-;55
angelmanuel;+;25
angelmanuel;-;54
ankorn;+;63
ankorn;-;130
anny22;+;81
anny22;-;125
anze82;+;77
anze82;-;120
anzi23;+;101
anzi23;-;111
arawn;+;30
arawn;-;75
aresnica;+;45
aresnica;-;30
arking;+;24
arking;-;78
arli23;+;105
arli23;-;548
arnolfus;+;18
arnolfus;-;59
arsenal_fan1;+;332
arsenal_fan1;-;679
arso;+;49
arso;-;67
arto77;+;36
arto77;-;110
arts7yle;+;118
arts7yle;-;91
aschkao;+;31
aschkao;-;35
ashme;+;91
ashme;-;199
aski;+;197
aski;-;169
assange;+;53
assange;-;165
as_kgarnett;+;229
