podkategorija;classify;count;razlika;max_razlika;normirano
atletika;+;417;-429;45575;-0.00941305540318
atletika;-;846;-429;45575;-0.00941305540318
citat-za-prebrat;+;1956;-4353;45575;-0.0955128908393
citat-za-prebrat;-;6309;-4353;45575;-0.0955128908393
formula-1;+;2016;-1612;45575;-0.0353702687877
formula-1;-;3628;-1612;45575;-0.0353702687877
hokej;+;11755;-8906;45575;-0.195414152496
hokej;-;20661;-8906;45575;-0.195414152496
kolesarstvo;+;1743;-857;45575;-0.0188041689523
kolesarstvo;-;2600;-857;45575;-0.0188041689523
kosarka;+;11553;-16589;45575;-0.363993417444
kosarka;-;28142;-16589;45575;-0.363993417444
motosporti;+;346;-70;45575;-0.00153592978607
motosporti;-;416;-70;45575;-0.00153592978607
na-danasnji-dan;+;32;5;45575;0.000109709270433
na-danasnji-dan;-;27;5;45575;0.000109709270433
ne-spreglejte;+;116;-128;45575;-0.00280855732309
ne-spreglejte;-;244;-128;45575;-0.00280855732309
nogomet;+;24899;-45575;45575;-1.0
nogomet;-;70474;-45575;45575;-1.0
novice;+;309;-378;45575;-0.00829402084476
novice;-;687;-378;45575;-0.00829402084476
novice-uporabnikov;+;2;0;45575;0.0
novice-uporabnikov;-;2;0;45575;0.0
odbojka;+;483;-445;45575;-0.00976412506857
odbojka;-;928;-445;45575;-0.00976412506857
oi-2012;+;2365;-927;45575;-0.0203400987383
oi-2012;-;3292;-927;45575;-0.0203400987383
paraolimpijske-igre;+;2;1;45575;2.19418540867e-05
paraolimpijske-igre;-;1;1;45575;2.19418540867e-05
preostali-sporti;+;2950;-2188;45575;-0.0480087767416
preostali-sporti;-;5138;-2188;45575;-0.0480087767416
rokomet;+;2453;-2176;45575;-0.0477454744926
rokomet;-;4629;-2176;45575;-0.0477454744926
rumeni-pajkl;+;170;-238;45575;-0.00522216127263
rumeni-pajkl;-;408;-238;45575;-0.00522216127263
sportni-sos;+;359;-266;45575;-0.00583653318705
sportni-sos;-;625;-266;45575;-0.00583653318705
tenis;+;7523;-177;45575;-0.00388370817334
tenis;-;7700;-177;45575;-0.00388370817334
zimski-sporti;+;24063;2254;45575;0.0494569391114
zimski-sporti;-;21809;2254;45575;0.0494569391114
