Uporabnik_idUporabnik;COUNT(*)
mirn-an;5237
tenisac-rdn4;3942
senna-maze-28;3275
ssdrag;2000
scenic;1951
el-cartel;1516
daryankoff;1513
ponudnik;1246
jernejt;1220
agent-perry;1175
tuditi;1145
bsr;1071
arsenal_fan1;1011
zamudnik;994
janko1973;959
cartekmedo;958
tily;938
vaati;927
the-stig;919
fedorov71;908
samo-zakes;897
pinkfranc;857
lfc;848
vombat98;840
xp;831
joy;795
leomessi10;770
ezat_anim;765
adijo-svet;741
primos;727
janbac;727
mr-d;721
g33ky_fr34k;697
bobbek;668
foofighter;657
arli23;653
heinz;652
zbornaya-komanda;632
tomjaz11;632
gregorb;623
luisnani17;618
kafkaf;612
toldo;611
rokec;591
luka007;589
nikec3;585
stevsineumni;584
thenomad;582
friks;580
webmaher;580
jurica;566
rdecinavijac;557
lukace5;555
bondi;554
aufbiks-v2ft;547
fleaa;541
vslivnje;532
giroud;518
zizou-us24;518
miki_miska;511
pixelbitch;511
iowa;506
imre;505
kenguru27;500
gravesen;483
mu-ica;482
tigercek;481
slycer;481
roxdegabba;471
slovenc-pa-pol;463
fairplayer;463
voly;461
roccat;460
no72;454
alexiush;451
gregsz;448
zetes;447
klemy;444
branko57;443
ulikses_;439
paperino;438
fabregas1991;438
urban2309;429
damirtankovic;429
lechy;428
verbatim989;426
shotup3;426
legenda7;422
iztrd;417
klipan;416
balestra92;415
comrade;413
kunta-kinte;408
zarman;404
robi82;403
raven_;400
bala;398
rokosan;396
stezosledec;396
pravnik1971;394
matjazp;382
schawlly;379
chelsea99;379
b-in;374
domobranec-ryen;371
sonce12;370
zahodnjak;368
a-orhidejca;368
legenda3;366
aski;366
oildome;363
samsa;363
rok-kosir;362
mihatirs;361
mucek113;358
rokers;355
scouser268;354
wasabi;345
partyboy;343
royayers;340
janiel74;339
webb;337
mate1234567890;334
zlobni-genij;327
lmatja;325
blazm;325
icos;325
aboveu;321
lookaaa;320
bata1967;318
gushtr;318
diego-armando;317
zabice;313
master;312
knight1987;310
crnibog;309
veeert;309
franc-pijanc;307
chamberlain;306
kanalija;306
the-metnek;303
jd666;300
sporties;300
mocco;299
u-n;298
levkup;298
veleje;296
mushroom;296
mikedean;296
hepimen;295
pistons_boy;294
jlmezed;293
brehme;292
mikic007;292
peters;291
ashme;290
hafis;289
nellyville;289
19miha90;287
as_kgarnett;287
acinho;286
l-amolin;285
d-e-s-s;284
drawlord;281
insider;280
demiensatlier;279
miki331;278
ennui;277
budspencer;275
fosfat;273
olimpijavsrcu;272
semrola;271
jaakaa;271
sunken;270
kucheysh;268
naugty-by-nature;268
jast123;268
dirknowitzki;268
bb_44;267
gregsa;261
gappon;260
joe19;259
kozorog1973;259
idared;259
diazepam;258
zogg;257
loucypher;254
jang;252
emlynhughes;249
icetea;248
onzy25;247
fanica28;247
pinkfloyd123;247
wisan;247
zugec;245
timoti;244
jakosol;244
vremenko-1gct;244
wesley90;243
penyablaugrana;243
blazz;243
slavkodobrina;240
sf010;239
joshauboy;239
grobarrr;237
martin112;237
rexi09;236
nocik;236
cungalunga007;235
spook;235
koperboy;235
420;233
paganinis;232
dobiica;232
roxon;232
kolesar666a;231
d-wade36;231
korotan;229
pingo69;228
cini-minis;228
rexi888;228
bliki;225
juninho8slo;223
toming;222
sportomanokin;222
kreativni-hrvat;220
troha;218
alek;218
99-or-1;218
assange;218
rap_coko;217
zogi;217
mid;217
olimpija-no1;217
kosmatapazduha;216
mulcon;216
royalclub;215
idaho;215
tedy123;214
svelenau;214
brico32;214
firebal-no-1;213
rolf;213
jaakaalj;212
anzi23;212
tiger983;211
arts7yle;209
kramci;208
alkum;208
alisha-8mg3;208
stern4president;207
krpani;207
polymath;207
kapitan-kljuka;206
anny22;206
francek-xh6k;206
nb21;204
donkey;202
rdeci-valjar;201
_50centy_;201
bor-v;199
tojo21;197
anze82;197
zuco;195
solocare;195
vozek;195
bostjan-brunec;194
ples;194
ankorn;193
kauko;192
telzak;191
croman_1;190
ics;190
hanzy23;190
sharkyslo;190
cyril;190
4-3-2-1;189
ufo1987;188
vzhodna_tribuna;188
sandie;188
17theone;187
modzo;187
dolinc;186
victory-80;186
smithex;184
toni77;184
rui;184
oneround;184
krjen3;184
bro_die;184
skodaoctavia;183
storz;182
rudes;182
goat16;181
johnb;180
demetra;180
the-magician;180
napo11;180
keketz;179
kokio;179
zablujenc18;179
shadyman;179
juventina10;178
kindobovs;178
bolhca;177
jest25;177
alen64;177
krkanm18;176
gromhellscream;176
barca10;175
fissico;174
varda-e7bj;174
belfast-boy;173
dusansilni;172
uruhart;171
kvaternik;171
captain-obvious;171
nbatv;171
marialorca;170
latamprle;170
zek;169
conquistador;169
skunexl;169
veza;168
am-shagar;168
shearer-alan;168
kar-eden;168
seo-away;167
maaajcikaaa;167
o-fenomeno;167
cslesce;166
kop;165
zbornaja-komanda;165
fireworker;165
fudelaster;165
hrgotax;165
tennis-gs;164
fndesjekl;164
kai;164
sking;163
boby21;163
pahorcek;163
vaza;163
opteron;163
thesteve;162
gpag;162
odklop-76;162
barca_4_ever;162
coreysteel;161
zverck;161
spf-xxii;161
lojal;160
opec;160
maniac-n0fb;160
proteus-uh8x;159
jeroflaek;159
nomenestomen;159
piatim69;159
klemzyy;159
pezdicek;158
morgenstern-djl6;158
turbolimach;158
bubi-schumi;157
delux;157
smajly;157
sik;157
sibid;157
zgodovina-sveta;157
grugar;156
frutek01;155
spiridon;155
mr-miyagi;154
gesan;154
timus;152
perice;151
jackm8;149
e-e;149
ryan;149
slokid;149
zekinho;147
arto77;146
gor123;146
lo_pa__ta;146
schickeria;145
cecile;145
kingstone;145
gregorzupancic;145
realna-slika;144
mala-jeb7;144
pokemon;143
mha-78ad;143
nody;143
sysop;142
ze-spet-jest;142
celjan2;142
hijena;142
siggi;141
tracer;141
realtoreal;141
urko;141
german;140
levak;140
pesnik123;140
m-filter;140
bregas;140
znalec1;139
kentaurus;138
t1000;138
belphegor;137
doktor-bauer;137
rumenige;137
sonet7;137
snowman-uq6i;136
bozz;136
ocelot;136
gordon;136
spacapan;136
ferrari458;136
ronzi;136
medo-9yoi;136
gapek;135
pureredneck;135
ferrari-fan;135
ales24;135
jasminelle;134
ledeni_-ioqs;134
barca14;134
samsvojmojster;134
kralj-matja;133
sportfan-u8h4;133
stanka;133
enigma1;133
ljsn;133
zyga;133
deadeye1;132
ma_ri_bor;132
majkomila;132
aki10;132
majster-22ev;132
veron;131
iuckylee-is-back;130
firnk-6clt;129
ikn1;129
malidelnicar;129
accko;129
atm;129
ice_devil;128
uros23;128
mlrncan;127
ol_im_pi_ja;127
ebel-acroni;127
l-curek;127
jo-epotrebuje;127
backless;126
mcbobber;126
prim00z;126
eagle012;125
barracuda-u6le;125
mojcd;125
branvan30000;125
sudija;124
robert80;124
boboman;124
lzilzola;124
merlot;124
zwook;123
smooth-criminal;123
peter;123
rush1;123
zufer;123
octopus;123
xskip;122
warbird;122
dinacc;122
westernboy;121
jojo7;121
intojeto;121
bor10ut;121
pingu5;121
kopitarthegreat;121
jedercan;120
mat;120
a-dee-jay;120
chopin;120
chelsea1111;120
peter_skater;119
dadinho10;119
jure_mb;119
norigoban;119
shambala;119
hyosung;118
zike;118
virgino;118
bob-q82o;118
pingvi;118
biebermaniac;117
ljga;117
_olimpija_;117
melanholik;117
viktoriana;117
cvetaca-i0bc;117
kobi23;117
klmncizmek;117
chosen;116
daayumn;116
nowitzki41;116
rok85;116
ladu;116
arso;116
ponos;116
plexi;116
zmaj-lj;115
doblica;115
jujc;115
katalonec;115
ultimojan;115
humwawaxaztur;114
lascan1;114
ntbul;114
polo;114
mark-22;114
ralfi9;114
zumba142;114
dirttrials;114
drjones;113
slavkoklobasa;113
sentinelslo;112
stewie;112
bethtempete;112
jure_bure;112
bodimo_realni;112
deniniho;112
etienko;112
timotej-rupar;111
dp_mozart;111
faktorx;111
tomek11;111
jurerock;111
nogav1ca;111
pravicni-hrvat;110
roxana-1u4j;110
spiritus-b86g;110
metk;110
kurjac-jt6h;109
kraner-oquh;109
a123b;109
damjan-ozmec;109
olimpija-63zr;108
sauromon;108
nerd;107
matej-kl28;107
janezblond;107
bonifika123;107
brasilinho7777;107
axx;106
fuj_plagiatorji;106
drncl;106
ctm;106
vonko;106
mzija10;106
v-slog;106
jureee;105
cicimici;105
veteraninsin;105
arawn;105
jasej1;105
montebuba;105
brisko;105
lwzr;105
roko5;104
rokee;104
88dejo88;103
macupicu;103
van-gol;103
nemafiji;103
turbogas1;103
kok;103
17;103
vito-corleone-2h0z;102
arking;102
ledzeppelin;102
thegrit;101
tetka;101
fini_gospod;101
albus;101
fc-mb;101
irobert;101
portnik1990;100
stein;100
reddevil21;100
nanook-ljb1;100
mp3ce;100
alojzr;100
mui;99
bobym;99
b1;99
motorbreath;99
slamic;99
mike1825;99
chi-bears-54;99
pigl;98
sr;98
borut1991;98
genniuuss;98
zeus08;98
rookie75;98
alikasmu-anje;98
carlos_carlos;98
ivan-gudelj;98
robby-g2ex;98
carbonfajbr;98
mihas;97
krumpek;97
robimilan;97
doubleog;97
conchis;97
manrose-b8nd;97
mdural-qyxm;97
kuntekinte;97
brigate-rosse;97
speedy_slo;96
preprost2;96
soulstripper;96
jbzt;95
ermin;95
k_ris;95
sela666;95
vitez;95
eva-longoria;95
pumadrifter;94
sroupamarkelateu;94
elemental;94
ti_si_nula;94
milanche;94
robi111;93
gregaa;93
soni;92
janezjanez-j057;92
jernej-dodig;92
freestailo;92
martinsk;92
tifoz;92
mihamiha23;92
proven;91
sinanfakic;91
kurt-china;91
janko-luzar;91
koren-prsmojen;91
gregorsu;91
dylanus;91
sintaksa;91
divac21;91
andz;90
la-sonrisa;90
drago;90
goalkeeper;90
chelsea-hh;90
madnes;90
branc;90
domen_92;90
muribor;90
toni66;90
kokozaver;89
pitbull-m78b;89
mike81;89
hladilnik;89
kozlevcar;89
da-funk;89
king23;88
iceman-m96s;88
bamfi;88
kralj-tvrtko;88
pingvini-slo;88
gumbler;88
kobiiica;88
rok-ometala;88
jernejzgur;88
boomslang;88
slofanaticos;88
bigbadbruin;88
roccer;88
megla111;88
tmlb;88
an-e-ciuf;87
dreadlord;87
caedmon;87
mjex;87
leftwinger;87
alanhansen;87
luka101;87
alcarin;87
kipanaliwo;87
cricka;86
celec222;86
galaxy;86
srajzel;86
d-u-p-a;86
name59;86
g1307;86
srsly;86
stevic;86
le-courage;86
krkas;86
jaka93;86
slovenka333;85
pnovak2;85
nenn0;85
atacar;85
doblaek;85
infostriker;85
glasna;85
xavi-xs2h;85
refik;85
madobromakaj;85
jay-6;85
stanolio;85
marvin42;84
dad-t56c;84
violacity;84
jerros;84
bojanec;84
lzuti;84
drop-dead;84
varjanta-b;84
topko86;84
bobr;84
barezi;84
blamethagame;84
tinkolo;84
atomx;83
bojan55;83
sejnik;83
ime-egb7;83
lovec-fq5z;83
slovencelj-dak2;83
jodlzi;83
toni-gruden;83
mr-pp;83
gregory2010;83
abeta;82
merjasec;82
miroslav;82
userol-lj;82
melitam;82
roky-62ik;82
